"","k_CCAplus","intercept_CCAplus","k_GScore","intercept_Gscore"
"375",0.37861,-0.206913,0.28654,1.79122
"376",0.401147,-0.224192,0.30874,1.84233
"377",0.351622,-0.227863,0.300969,1.87708
"378",0.370292,-0.206247,0.292429,1.89336
"379",0.382611,-0.216696,0.288241,1.80862
"380",0.379903,-0.185515,0.285441,1.85994
"381",0.370404,-0.212855,0.314401,1.85788
"382",0.390277,-0.131186,0.320087,1.86062
"383",0.443236,-0.122992,0.310596,1.71467
"384",0.453283,-0.131411,0.309968,1.61896
"385",0.43511,-0.0808728,0.303965,1.74852
"386",0.44544,0.00757106,0.329977,1.64279
"387",0.462199,0.0451766,0.311947,1.65211
"388",0.454796,-0.0521335,0.309528,1.63898
"389",0.462224,-0.0503055,0.297318,1.7673
"390",0.440638,-0.0416442,0.284835,1.74043
"391",0.389923,-0.0494316,0.315469,1.744
"392",0.407083,-0.119197,0.30253,1.55205
"393",0.413744,-0.112621,0.302291,1.67635
"394",0.410539,-0.149018,0.291705,1.92163
"395",0.365797,-0.0181228,0.293318,1.90731
"396",0.368232,0.0538138,0.293679,1.88294
"397",0.383647,-0.0394241,0.306101,1.87643
"398",0.386174,0.0302991,0.313439,1.69673
"399",0.403352,0.111864,0.33175,1.70454
"400",0.405978,0.119165,0.291855,1.80899
"401",0.454591,0.130797,0.296304,1.87005
"402",0.451744,0.066256,0.334932,1.83102
"403",0.470447,0.0832925,0.338053,1.82308
"404",0.463291,0.0697528,0.331308,1.80727
"405",0.455481,0.0783697,0.32047,1.74322
"406",0.4629,0.133507,0.323628,1.67941
"407",0.405135,0.143731,0.321462,1.69744
"408",0.462334,0.126724,0.330087,1.65624
"409",0.453336,0.183069,0.323411,1.6532
"410",0.506874,0.163779,0.316152,1.65633
"411",0.498684,0.107591,0.319921,1.78953
"412",0.464769,0.183664,0.348107,1.78874
"413",0.452032,0.0388611,0.346295,1.79389
"414",0.450845,0.0289486,0.34306,1.81364
"415",0.371177,0.0424686,0.332798,1.76245
"416",0.398219,0.0114281,0.318753,1.96332
"417",0.430808,0.0623717,0.321514,1.89424
"418",0.426339,0.152504,0.307973,1.90705
"419",0.450129,0.143347,0.318902,1.94978
"420",0.425686,0.145486,0.311688,1.98098
"421",0.468624,0.171563,0.311824,1.99436
"422",0.442352,0.289311,0.313909,1.75437
"423",0.430247,0.301149,0.309029,1.92635
"424",0.400298,0.299208,0.302156,1.88129
"425",0.410602,0.0971303,0.264568,1.90162
"426",0.424131,-0.0332997,0.289222,1.88992
"427",0.425144,-0.11265,0.309852,1.85748
"428",0.43115,-0.168082,0.266617,1.90316
"429",0.416515,0.0179999,0.285275,1.95533
"430",0.509891,0.125327,0.277133,1.96371
"431",0.528676,0.0617415,0.276679,2.00287
